TravelWeekDay_B03ID,DayID,IndividualID
1,2017010005,2017001546
1,2017010006,2017001546
1,2017010007,2017001546
1,2017010008,2017001546
1,2017010009,2017001546
2,2017010010,2017001546
2,2017010011,2017001547
1,2017010012,2017001547
1,2017010013,2017001547
1,2017010014,2017001547
1,2017010015,2017001547
1,2017010016,2017001547
2,2017010017,2017001547
2,2017010018,2017001548
1,2017010019,2017001548
1,2017010020,2017001548
1,2017010021,2017001548
1,2017010022,2017001548
1,2017010023,2017001548
2,2017010024,2017001548
1,2017010025,2017001549
1,2017010026,2017001549
1,2017010027,2017001549
1,2017010028,2017001549
2,2017010029,2017001549
2,2017010030,2017001549
1,2017010031,2017001549
1,2017010032,2017001550
1,2017010033,2017001550
1,2017010034,2017001550
1,2017010035,2017001550
2,2017010036,2017001550
2,2017010037,2017001550
1,2017010038,2017001550
1,2017010039,2017001551
1,2017010040,2017001551
1,2017010041,2017001551
1,2017010042,2017001551
2,2017010043,2017001551
2,2017010044,2017001551
1,2017010045,2017001551
1,2017010046,2017001552
1,2017010047,2017001552
2,2017010048,2017001552
2,2017010049,2017001552
1,2017010050,2017001552
1,2017010051,2017001552
1,2017010052,2017001552
1,2017010053,2017001553
2,2017010054,2017001553
2,2017010055,2017001553
1,2017010056,2017001553
1,2017010057,2017001553
1,2017010058,2017001553
1,2017010059,2017001553
1,2017010060,2017001554
2,2017010061,2017001554
2,2017010062,2017001554
1,2017010063,2017001554
1,2017010064,2017001554
1,2017010065,2017001554
1,2017010066,2017001554
1,2017010067,2017001555
1,2017010068,2017001555
2,2017010069,2017001555
2,2017010070,2017001555
1,2017010071,2017001555
1,2017010072,2017001555
1,2017010073,2017001555
1,2017010074,2017001556
1,2017010075,2017001556
2,2017010076,2017001556
2,2017010077,2017001556
1,2017010078,2017001556
1,2017010079,2017001556
1,2017010080,2017001556
1,2017010081,2017001557
1,2017010082,2017001557
2,2017010083,2017001557
2,2017010084,2017001557
1,2017010085,2017001557
1,2017010086,2017001557
1,2017010087,2017001557
1,2017010088,2017001558
1,2017010089,2017001558
2,2017010090,2017001558
2,2017010091,2017001558
1,2017010092,2017001558
1,2017010093,2017001558
1,2017010094,2017001558
1,2017010095,2017001559
1,2017010096,2017001559
2,2017010097,2017001559
2,2017010098,2017001559
1,2017010099,2017001559
1,2017010100,2017001559
1,2017010101,2017001559
1,2017010102,2017001560
1,2017010103,2017001560
1,2017010104,2017001560
1,2017010105,2017001560
2,2017010106,2017001560
2,2017010107,2017001560
1,2017010108,2017001560
1,2017010109,2017001561
1,2017010110,2017001561
1,2017010111,2017001561
1,2017010112,2017001561
2,2017010113,2017001561
2,2017010114,2017001561
1,2017010115,2017001561
1,2017010116,2017001562
1,2017010117,2017001562
1,2017010118,2017001562
1,2017010119,2017001562
2,2017010120,2017001562
2,2017010121,2017001562
1,2017010122,2017001562
1,2017010123,2017001563
2,2017010124,2017001563
2,2017010125,2017001563
1,2017010126,2017001563
1,2017010127,2017001563
1,2017010128,2017001563
1,2017010129,2017001563
1,2017010130,2017001564
2,2017010131,2017001564
2,2017010132,2017001564
1,2017010133,2017001564
1,2017010134,2017001564
1,2017010135,2017001564
1,2017010136,2017001564
1,2017010137,2017001565
1,2017010138,2017001565
1,2017010139,2017001565
2,2017010140,2017001565
2,2017010141,2017001565
1,2017010142,2017001565
1,2017010143,2017001565
2,2017010144,2017001566
1,2017010145,2017001566
1,2017010146,2017001566
1,2017010147,2017001566
1,2017010148,2017001566
1,2017010149,2017001566
2,2017010150,2017001566
2,2017010151,2017001567
2,2017010193,2017001576
1,2017010194,2017001576
1,2017010195,2017001576
1,2017010196,2017001576
1,2017010197,2017001576
1,2017010198,2017001576
2,2017010199,2017001576
2,2017010200,2017001577
1,2017010201,2017001577
1,2017010202,2017001577
1,2017010203,2017001577
1,2017010204,2017001577
1,2017010205,2017001577
2,2017010206,2017001577
2,2017010207,2017001578
1,2017010208,2017001578
1,2017010209,2017001578
1,2017010210,2017001578
1,2017010211,2017001578
1,2017010212,2017001578
2,2017010213,2017001578
1,2017010214,2017001579
1,2017010215,2017001579
1,2017010216,2017001579
2,2017010217,2017001579
2,2017010218,2017001579
1,2017010219,2017001579
1,2017010220,2017001579
1,2017010221,2017001580
1,2017010222,2017001580
1,2017010223,2017001580
2,2017010224,2017001580
2,2017010225,2017001580
1,2017010226,2017001580
1,2017010227,2017001580
1,2017010228,2017001581
1,2017010229,2017001581
1,2017010230,2017001581
2,2017010231,2017001581
2,2017010232,2017001581
1,2017010233,2017001581
1,2017010234,2017001581
1,2017010235,2017001582
1,2017010236,2017001582
1,2017010237,2017001582
2,2017010238,2017001582
2,2017010239,2017001582
1,2017010240,2017001582
1,2017010241,2017001582
2,2017010242,2017001583
1,2017010243,2017001583
1,2017010244,2017001583
1,2017010245,2017001583
1,2017010246,2017001583
1,2017010247,2017001583
2,2017010248,2017001583
2,2017010249,2017001584
1,2017010250,2017001584
1,2017010251,2017001584
1,2017010252,2017001584
1,2017010253,2017001584
1,2017010254,2017001584
2,2017010255,2017001584
2,2017010256,2017001585
1,2017010257,2017001585
1,2017010258,2017001585
1,2017010259,2017001585
1,2017010260,2017001585
1,2017010261,2017001585
2,2017010262,2017001585
2,2017010263,2017001586
1,2017010264,2017001586
1,2017010265,2017001586
1,2017010266,2017001586
1,2017010267,2017001586
1,2017010268,2017001586
2,2017010269,2017001586
2,2017010270,2017001587
1,2017010271,2017001587
1,2017010272,2017001587
1,2017010273,2017001587
1,2017010274,2017001587
1,2017010275,2017001587
2,2017010276,2017001587
2,2017010277,2017001588
1,2017010278,2017001588
1,2017010279,2017001588
1,2017010280,2017001588
1,2017010281,2017001588
1,2017010282,2017001588
2,2017010283,2017001588
2,2017010284,2017001589
1,2017010285,2017001589
1,2017010286,2017001589
1,2017010287,2017001589
1,2017010288,2017001589
1,2017010289,2017001589
2,2017010290,2017001589
2,2017010291,2017001590
1,2017010292,2017001590
1,2017010293,2017001590
1,2017010294,2017001590
1,2017010295,2017001590
1,2017010296,2017001590
2,2017010297,2017001590
1,2017010298,2017001591
1,2017010299,2017001591
2,2017010300,2017001591
2,2017010301,2017001591
1,2017010302,2017001591
1,2017010303,2017001591
1,2017010304,2017001591
1,2017010305,2017001592
1,2017010306,2017001592
2,2017010307,2017001592
2,2017010308,2017001592
1,2017010309,2017001592
1,2017010310,2017001592
1,2017010311,2017001592
1,2017010312,2017001593
1,2017010313,2017001593
2,2017010314,2017001593
2,2017010315,2017001593
1,2017010316,2017001593
1,2017010317,2017001593
1,2017010318,2017001593
1,2017010319,2017001594
1,2017010320,2017001594
1,2017010321,2017001594
1,2017010322,2017001594
2,2017010323,2017001594
2,2017010324,2017001594
1,2017010325,2017001594
1,2017010326,2017001595
1,2017010327,2017001595
1,2017010328,2017001595
1,2017010329,2017001595
2,2017010330,2017001595
2,2017010331,2017001595
1,2017010332,2017001595
1,2017010333,2017001596
1,2017010334,2017001596
1,2017010335,2017001596
1,2017010336,2017001596
2,2017010337,2017001596
2,2017010338,2017001596
1,2017010339,2017001596
1,2017010340,2017001597
2,2017010341,2017001597
2,2017010342,2017001597
1,2017010343,2017001597
1,2017010344,2017001597
1,2017010345,2017001597
1,2017010346,2017001597
1,2017010347,2017001598
2,2017010348,2017001598
2,2017010349,2017001598
1,2017010350,2017001598
1,2017010351,2017001598
1,2017010352,2017001598
1,2017010353,2017001598
1,2017010354,2017001599
2,2017010355,2017001599
2,2017010356,2017001599
1,2017010357,2017001599
1,2017010358,2017001599
1,2017010359,2017001599
1,2017010360,2017001599
1,2017010361,2017001600
2,2017010362,2017001600
2,2017010363,2017001600
1,2017010364,2017001600
1,2017010365,2017001600
1,2017010366,2017001600
1,2017010367,2017001600
2,2017010368,2017001601
2,2017010369,2017001601
1,2017010370,2017001601
1,2017010371,2017001601
1,2017010372,2017001601
1,2017010373,2017001601
1,2017010374,2017001601
2,2017010375,2017001602
2,2017010376,2017001602
1,2017010377,2017001602
1,2017010378,2017001602
1,2017010379,2017001602
1,2017010380,2017001602
1,2017010381,2017001602
2,2017010382,2017001603
2,2017010383,2017001603
1,2017010384,2017001603
1,2017010385,2017001603
1,2017010386,2017001603
1,2017010387,2017001603
1,2017010388,2017001603
2,2017010389,2017001604
2,2017010390,2017001604
1,2017010391,2017001604
1,2017010392,2017001604
1,2017010393,2017001604
1,2017010394,2017001604
1,2017010395,2017001604
2,2017010396,2017001607
1,2017010397,2017001607
1,2017010398,2017001607
1,2017010399,2017001607
1,2017010400,2017001607
1,2017010401,2017001607
2,2017010402,2017001607
2,2017010403,2017001608
1,2017010404,2017001608
1,2017010405,2017001608
1,2017010406,2017001608
1,2017010407,2017001608
1,2017010408,2017001608
1,2017000001,2017000001
2,2017000002,2017000001
2,2017000003,2017000001
1,2017000004,2017000001
1,2017000005,2017000001
1,2017000006,2017000001
1,2017000007,2017000001
1,2017000008,2017000002
2,2017000009,2017000002
2,2017000010,2017000002
1,2017000011,2017000002
1,2017000012,2017000002
1,2017000013,2017000002
1,2017000014,2017000002
1,2017000015,2017000003
1,2017000016,2017000003
2,2017000017,2017000003
2,2017000018,2017000003
1,2017000019,2017000003
1,2017000020,2017000003
1,2017000021,2017000003
1,2017000022,2017000004
1,2017000023,2017000004
1,2017000024,2017000004
2,2017000025,2017000004
2,2017000026,2017000004
1,2017000027,2017000004
1,2017000028,2017000004
1,2017000029,2017000005
1,2017000030,2017000005
1,2017000031,2017000005
2,2017000032,2017000005
2,2017000033,2017000005
1,2017000034,2017000005
1,2017000035,2017000005
1,2017000036,2017000006
1,2017000037,2017000006
1,2017000038,2017000006
2,2017000039,2017000006
2,2017000040,2017000006
1,2017000041,2017000006
1,2017000042,2017000006
1,2017000043,2017000007
1,2017000044,2017000007
1,2017000045,2017000007
2,2017000046,2017000007
2,2017000047,2017000007
1,2017000048,2017000007
1,2017000049,2017000007
1,2017000050,2017000008
1,2017000051,2017000008
1,2017000052,2017000008
1,2017000053,2017000008
2,2017000054,2017000008
1,2017010606,2017001642
1,2017010607,2017001642
1,2017010608,2017001642
2,2017010609,2017001642
2,2017010610,2017001642
1,2017010611,2017001642
1,2017010612,2017001642
1,2017010613,2017001643
1,2017010614,2017001643
1,2017010615,2017001643
2,2017010616,2017001643
2,2017010617,2017001643
1,2017010618,2017001643
1,2017010619,2017001643
1,2017010620,2017001644
1,2017010621,2017001644
1,2017010622,2017001644
1,2017010623,2017001644
2,2017010624,2017001644
2,2017010625,2017001644
1,2017010626,2017001644
1,2017010627,2017001645
1,2017010628,2017001645
1,2017010629,2017001645
1,2017010630,2017001645
2,2017010631,2017001645
2,2017010632,2017001645
1,2017010633,2017001645
1,2017010634,2017001646
1,2017010635,2017001646
1,2017010636,2017001646
1,2017010637,2017001646
2,2017010638,2017001646
2,2017010639,2017001646
1,2017010640,2017001646
1,2017010641,2017001647
1,2017010642,2017001647
1,2017010643,2017001647
1,2017010644,2017001647
2,2017010645,2017001647
2,2017010646,2017001647
1,2017010647,2017001647
1,2017010648,2017001648
1,2017010649,2017001648
2,2017010650,2017001648
2,2017010651,2017001648
1,2017010652,2017001648
1,2017010653,2017001648
1,2017010654,2017001648
1,2017010655,2017001649
2,2017010656,2017001649
2,2017010657,2017001649
1,2017010658,2017001649
1,2017010659,2017001649
2,2017000085,2017000013
2,2017000086,2017000013
1,2017000087,2017000013
1,2017000088,2017000013
1,2017000089,2017000013
1,2017000090,2017000013
1,2017000091,2017000013
2,2017000092,2017000014
2,2017000093,2017000014
1,2017000094,2017000014
1,2017000095,2017000014
1,2017000096,2017000014
1,2017000097,2017000014
1,2017000098,2017000014
2,2017000099,2017000015
2,2017000100,2017000015
1,2017000101,2017000015
1,2017000102,2017000015
1,2017000103,2017000015
1,2017000104,2017000015
1,2017000105,2017000015
2,2017000106,2017000016
2,2017000107,2017000016
1,2017000108,2017000016
1,2017000109,2017000016
1,2017000110,2017000016
1,2017000111,2017000016
1,2017000112,2017000016
2,2017000113,2017000017
2,2017000114,2017000017
1,2017000115,2017000017
1,2017000116,2017000017
1,2017000117,2017000017
1,2017000118,2017000017
1,2017000119,2017000017
2,2017000120,2017000018
2,2017000121,2017000018
1,2017000122,2017000018
1,2017000123,2017000018
1,2017000124,2017000018
1,2017000125,2017000018
1,2017000126,2017000018
2,2017000127,2017000019
2,2017000128,2017000019
1,2017000129,2017000019
1,2017000130,2017000019
1,2017000131,2017000019
1,2017000132,2017000019
1,2017000133,2017000019
2,2017000134,2017000020
1,2017000135,2017000020
1,2017000136,2017000020
1,2017000137,2017000020
1,2017000138,2017000020
1,2017010660,2017001649
1,2017010661,2017001649
