HouseholdID,SurveyYear,TWSWeek,HHIncome2002_B02ID,HHIncOrig_B01ID,HHoldCountry_B01ID,HHoldNumAdults,HHoldNumChildren,NumVehicles,StationKmTRACC,WalkRailAlt_B01ID,HRPWorkStat_B02ID,HRPSEGWorkStat_B01ID,BusStandard_B01ID,Total_people,Income_per_person,Income_dollars
2002000376,2002,3,1.0,1,1,2,2,1.0,-10.0,-9,1,4,1,4,6250.0,25000.0
2002000381,2002,3,1.0,3,1,2,1,0.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000382,2002,5,1.0,1,1,2,3,1.0,-10.0,-9,3,5,1,5,5000.0,25000.0
2002000384,2002,4,1.0,3,1,2,2,2.0,-10.0,-9,4,1,1,4,6250.0,25000.0
2002000385,2002,5,1.0,1,1,3,2,0.0,-10.0,-9,4,6,1,5,5000.0,25000.0
2002000391,2002,2,1.0,1,1,2,1,0.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002000392,2002,6,1.0,1,1,6,0,1.0,-10.0,3,1,1,1,6,4166.666666666667,25000.0
2002000393,2002,5,1.0,1,1,2,3,0.0,-10.0,-9,1,4,1,5,5000.0,25000.0
2002000396,2002,4,1.0,1,1,2,3,0.0,-10.0,-9,3,5,1,5,5000.0,25000.0
2002000399,2002,4,1.0,3,1,3,0,0.0,-10.0,-9,1,1,1,3,8333.333333333334,25000.0
2002000400,2002,4,1.0,1,1,2,3,1.0,-10.0,2,1,4,1,5,5000.0,25000.0
2002000421,2002,5,1.0,1,1,2,1,3.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002000427,2002,3,1.0,1,1,4,0,1.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002000434,2002,3,1.0,1,1,3,0,1.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002000435,2002,2,1.0,1,1,3,0,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002000444,2002,4,1.0,3,1,1,2,1.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002000451,2002,4,1.0,3,1,3,0,2.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002000455,2002,3,1.0,1,1,2,1,2.0,-10.0,-9,1,3,1,3,8333.333333333334,25000.0
2002000468,2002,4,1.0,1,1,2,1,2.0,-10.0,-9,1,3,1,3,8333.333333333334,25000.0
2002000472,2002,6,1.0,1,1,2,1,2.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002000481,2002,5,1.0,1,1,3,0,1.0,-10.0,-9,1,1,1,3,8333.333333333334,25000.0
2002000485,2002,4,1.0,1,1,2,2,2.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002000491,2002,4,1.0,3,1,1,2,1.0,-10.0,-9,1,2,1,3,8333.333333333334,25000.0
2002000501,2002,2,1.0,3,1,3,0,1.0,-10.0,-9,1,1,1,3,8333.333333333334,25000.0
2002000503,2002,4,1.0,1,1,3,1,1.0,-10.0,-9,3,5,1,4,6250.0,25000.0
2002000508,2002,5,1.0,3,1,1,3,1.0,-10.0,-9,4,6,1,4,6250.0,25000.0
2002000521,2002,2,1.0,1,1,3,1,2.0,-10.0,-9,1,1,1,4,6250.0,25000.0
